as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,002281,002281.SZ,光迅科技,Accelink Technologies Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.937
2026-06-04,CSI 500,000905,002294,002294.SZ,信立泰,Shenzhen Salubris Pharmaceuticals Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.177
2026-06-04,CSI 500,000905,002299,002299.SZ,圣农发展,Fujian Sunner Development Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.1
2026-06-04,CSI 500,000905,002312,002312.SZ,川发龙蟒,"Sichuan Development Lomon Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.097
2026-06-04,CSI 500,000905,002318,002318.SZ,久立特材,Zhejiang Jiuli Hi-tech Metals Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.153
2026-06-04,CSI 500,000905,002335,002335.SZ,科华数据,"KEHUA DATA CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.194
2026-06-04,CSI 500,000905,002340,002340.SZ,格林美,Shenzhen Green Eco-manufacture Hi-tech Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.379
2026-06-04,CSI 500,000905,002353,002353.SZ,杰瑞股份,Yantai Jereh Oilfield Services Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.818
2026-06-04,CSI 500,000905,002372,002372.SZ,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.061
2026-06-04,CSI 500,000905,002385,002385.SZ,大北农,Beijing Dabeinong Technology Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.109
2026-06-04,CSI 500,000905,002402,002402.SZ,和而泰,Shenzhen H&T Intelligent Control Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.239
2026-06-04,CSI 500,000905,002409,002409.SZ,雅克科技,Jiangsu Yoke Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.292
2026-06-04,CSI 500,000905,002410,002410.SZ,广联达,Glodon Software Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.155
2026-06-04,CSI 500,000905,002414,002414.SZ,高德红外,Wuhan Guide Infrared Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.209
2026-06-04,CSI 500,000905,002423,002423.SZ,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.08
2026-06-04,CSI 500,000905,002429,002429.SZ,兆驰股份,Shenzhen MTC Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.249
2026-06-04,CSI 500,000905,002430,002430.SZ,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.115
2026-06-04,CSI 500,000905,002432,002432.SZ,九安医疗,Andon Health Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.236
2026-06-04,CSI 500,000905,002436,002436.SZ,兴森科技,Shenzhen Fastprint Circuit Tech Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.624
2026-06-04,CSI 500,000905,002439,002439.SZ,启明星辰,Beijing Venustech Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.097
2026-06-04,CSI 500,000905,002444,002444.SZ,巨星科技,Hangzhou Great Star Industrial Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.22
2026-06-04,CSI 500,000905,002461,002461.SZ,珠江啤酒,Guangzhou Zhujiang Brewery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.042
2026-06-04,CSI 500,000905,002465,002465.SZ,海格通信,Guangzhou Haige Communications Group Incorporated Company,Shenzhen Stock Exchange,深圳证券交易所,0.298
2026-06-04,CSI 500,000905,002472,002472.SZ,双环传动,Zhejiang Shuanghuan Driveline Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.253
